Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
ZNF530	KIAA1508	ENSG00000183647	Zinc finger protein 530	19	57599885-57612722	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA045868	Uncertain		Approved	Vesicles		Mixed	Mixed			spleen: 3.1	Cell line enhanced		HEK 293: 68.7;U-266/84: 40.3
ZNF532	FLJ10697	ENSG00000074657	Zinc finger protein 532	18	58862600-58986480	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA015322	Approved		Approved	Nucleoplasm<br>Golgi apparatus	Endometrial cancer:6.46e-5 (unfavourable), Urothelial cancer:5.76e-4 (unfavourable)	Expressed in all	Mixed			endometrium: 104.4	Cell line enhanced		AF22: 113.9
ZNF534	FLJ25344, KRBO3	ENSG00000198633	Zinc finger protein 534	19	52429187-52452315	Predicted intracellular proteins, Transcription factors	Evidence at transcript level							Tissue enriched	Tissue enhanced		testis: 2.4	cerebral cortex: 0.9	Not detected		
ZNF536	KIAA0390	ENSG00000198597	Zinc finger protein 536	19	30228290-30713538	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA077341			Approved	Nucleus<br>Cell Junctions		Mixed	Tissue enhanced		cerebral cortex: 19.0	thyroid gland: 5.3	Cell line enhanced		HAP1: 11.4;SH-SY5Y: 31.3;WM-115: 12.5
ZNF540	DKFZp547B0714	ENSG00000171817	Zinc finger protein 540	19	37551406-37614097	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003444	Supported		Supported	Nucleoplasm<br>Vesicles<br>Cytosol		Mixed	Mixed			thyroid gland: 13.3	Mixed		
ZNF541	DKFZp434I1930	ENSG00000118156	Zinc finger protein 541	19	47520685-47555856	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA058541, HPA076453	Enhanced		Approved	Nucleoplasm<br>Cytosol	Cervical cancer:2.94e-4 (favourable)	Tissue enhanced	Tissue enriched	11	testis: 19.2	ovary: 1.7	Group enriched	6	HEL: 1.4;SiHa: 5.3;U-87 MG: 1.6
ZNF543	DKFZp434H055	ENSG00000178229	Zinc finger protein 543	19	57320509-57330776	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA029736, HPA057665	Uncertain		Approved	Nuclear speckles<br>Cytosol	Renal cancer:2.03e-5 (favourable)	Expressed in all	Mixed			ovary: 6.0	Mixed		
ZNF544	AF020591	ENSG00000198131	Zinc finger protein 544	19	58228594-58277495	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA002732	Approved		Approved	Nucleoplasm	Liver cancer:1.04e-5 (unfavourable), Melanoma:3.65e-5 (unfavourable)	Expressed in all	Expressed in all			epididymis: 48.6	Cell line enhanced		HEK 293: 153.3
ZNF546	MGC43537, ZNF49	ENSG00000187187	Zinc finger protein 546	19	39984134-40021041	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA030838			Approved	Nucleus<br>Cytosol		Mixed	Tissue enhanced		testis: 14.4	parathyroid gland,thyroid gland: 3.2	Mixed		
ZNF547	FLJ31100	ENSG00000152433	Zinc finger protein 547	19	57363477-57379565	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA056001	Uncertain					Mixed	Mixed			thyroid gland: 5.2	Mixed		
ZNF548	FLJ32932	ENSG00000188785	Zinc finger protein 548	19	57389850-57402992	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA066042	Uncertain		Approved	Nucleus	Breast cancer:7.85e-4 (favourable)	Expressed in all	Expressed in all			lymph node: 32.6	Mixed		
ZNF549	FLJ34917	ENSG00000121406	Zinc finger protein 549	19	57527325-57557542	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA039511	Uncertain		Approved	Nucleoplasm<br>Cytosol		Mixed	Mixed			parathyroid gland: 10.2	Mixed		
ZNF550	MGC41917	ENSG00000251369	Zinc finger protein 550	19	57535257-57559863	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003251	Uncertain		Approved	Vesicles<br>Microtubules	Prostate cancer:2.21e-4 (unfavourable)	Expressed in all	Mixed			ovary: 12.7	Mixed		
ZNF551	DKFZp686H1038	ENSG00000204519	Zinc finger protein 551	19	57681969-57717301	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA038187			Approved	Nucleoplasm<br>Nuclear speckles	Melanoma:7.68e-5 (unfavourable), Renal cancer:1.32e-4 (favourable)	Expressed in all	Mixed			testis: 8.0	Mixed		
ZNF552	FLJ21603	ENSG00000178935	Zinc finger protein 552	19	57803841-57814913	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA043800, HPA053762, HPA072145	Uncertain		Uncertain	Nucleus	Colorectal cancer:2.66e-4 (favourable), Breast cancer:4.57e-4 (favourable), Head and neck cancer:9.96e-4 (favourable)	Expressed in all	Mixed			breast: 33.9	Expressed in all		
ZNF554	FLJ34817	ENSG00000172006	Zinc finger protein 554	19	2819874-2835773	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA060247, HPA063358	Uncertain		Supported	Nucleoplasm<br>Nucleoli	Renal cancer:1.99e-5 (favourable), Pancreatic cancer:4.69e-4 (favourable), Urothelial cancer:5.00e-4 (favourable), Lung cancer:9.31e-4 (favourable)	Expressed in all	Mixed			cerebral cortex: 7.5	Mixed		
ZNF555	MGC26707	ENSG00000186300	Zinc finger protein 555	19	2841435-2860484	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA053956, HPA055430	Uncertain					Mixed	Mixed			testis: 10.4	Mixed		
ZNF556	FLJ11637	ENSG00000172000	Zinc finger protein 556	19	2867335-2883445	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA060593			Approved	Nucleus		Mixed	Tissue enhanced		fallopian tube: 3.3;ovary: 6.5	testis: 1.3	Cell line enhanced		Hep G2: 9.1;RH-30: 18.6
ZNF557	MGC4054	ENSG00000130544	Zinc finger protein 557	19	7069444-7087968	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003151, HPA029291	Uncertain		Approved	Nucleus<br>Intermediate filaments<br>Cytosol	Head and neck cancer:3.67e-6 (favourable), Pancreatic cancer:1.51e-4 (favourable), Lung cancer:2.62e-4 (favourable), Endometrial cancer:5.70e-4 (favourable)	Expressed in all	Mixed			testis: 5.4	Expressed in all		
ZNF558	FLJ30932	ENSG00000167785	Zinc finger protein 558	19	8806170-8832328	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA003151	Uncertain				Renal cancer:1.23e-6 (unfavourable), Urothelial cancer:9.30e-5 (favourable), Head and neck cancer:1.04e-4 (favourable)	Expressed in all	Mixed			parathyroid gland: 19.0	Mixed		
ZNF559	MGC13105	ENSG00000188321	Zinc finger protein 559	19	9323772-9351162	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA059632, HPA065485	Approved		Supported	Nucleoplasm<br>Cytosol	Ovarian cancer:6.99e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 40.8	Mixed		
ZNF560	FLJ31986	ENSG00000198028	Zinc finger protein 560	19	9466507-9498607	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA045439, HPA063209			Supported	Nucleoplasm<br>Plasma membrane		Tissue enriched	Tissue enriched	9	testis: 11.9	placenta: 1.2	Cell line enhanced		HEL: 19.1;NTERA-2: 20.6
ZNF561	MGC45408	ENSG00000171469	Zinc finger protein 561	19	9604680-9621399	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA055332, HPA062397	Uncertain		Approved	Nucleoplasm	Renal cancer:1.16e-4 (favourable), Ovarian cancer:1.31e-4 (favourable)	Expressed in all	Expressed in all			smooth muscle: 38.2	Mixed		
ZNF562	FLJ20079	ENSG00000171466	Zinc finger protein 562	19	9641808-9675086	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA055332, HPA062397	Uncertain		Approved	Nucleoplasm	Head and neck cancer:4.17e-4 (favourable)	Expressed in all	Expressed in all			esophagus: 18.7	Expressed in all		
ZNF563	FLJ34797	ENSG00000188868	Zinc finger protein 563	19	12317477-12333720	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA042136	Uncertain					Expressed in all	Tissue enhanced		testis: 25.7	thyroid gland: 8.5	Mixed		
ZNF564	MGC26914	ENSG00000249709	Zinc finger protein 564	19	12525370-12551542	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA043998	Uncertain		Approved	Golgi apparatus		Not detected	Mixed			thyroid gland: 10.5	Mixed		
ZNF565	FLJ36991	ENSG00000196357	Zinc finger protein 565	19	36182060-36246257	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA044123	Uncertain		Approved	Nucleoplasm<br>Nuclear bodies		Expressed in all	Mixed			testis: 11.6	Mixed		
ZNF566	FLJ14779, MGC12515	ENSG00000186017	Zinc finger protein 566	19	36445119-36489902	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA023456	Uncertain		Approved	Nucleus	Endometrial cancer:1.86e-4 (unfavourable)	Expressed in all	Mixed			thyroid gland: 8.0	Mixed		
ZNF567	MGC45586	ENSG00000189042	Zinc finger protein 567	19	36687612-36727701	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA023937	Uncertain		Approved	Nucleoplasm<br>Cytosol		Expressed in all	Mixed			testis: 16.1	Mixed		
ZNF568	DKFZp686B0797	ENSG00000198453	Zinc finger protein 568	19	36916329-36998700	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA052061	Uncertain					Mixed	Mixed			parathyroid gland: 14.3	Mixed		
ZNF569	FLJ32053, ZAP1	ENSG00000196437	Zinc finger protein 569	19	37411155-37469275	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA052994	Uncertain		Approved	Nucleoplasm<br>Golgi apparatus<br>Vesicles		Mixed	Mixed			testis: 20.5	Mixed		
ZNF57	ZNF424	ENSG00000171970	Zinc finger protein 57	19	2900898-2918476	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA061915			Approved	Nucleoli	Renal cancer:4.11e-9 (favourable), Lung cancer:6.26e-4 (favourable), Pancreatic cancer:7.72e-4 (favourable)	Expressed in all	Tissue enhanced		testis: 47.3	skin: 11.5	Mixed		
ZNF570	FLJ30791	ENSG00000171827	Zinc finger protein 570	19	37467585-37488652	Predicted intracellular proteins, Predicted secreted proteins, Transcription factors	Evidence at transcript level	HPA028881	Uncertain		Approved	Nucleoplasm	Renal cancer:4.06e-5 (favourable)	Expressed in all	Mixed			testis: 10.7	Mixed		
ZNF571	HSPC059	ENSG00000180479	Zinc finger protein 571	19	37554782-37594790	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA054762			Approved	Nucleus<br>Nucleoli<br>Plasma membrane		Mixed	Tissue enriched	6	thyroid gland: 130.6	parathyroid gland: 21.6	Mixed		
ZNF572	FLJ38002	ENSG00000180938	Zinc finger protein 572	8	124973298-124979389	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA066838	Enhanced		Approved	Nuclear speckles		Expressed in all	Mixed			testis: 6.7	Mixed		
ZNF573	FLJ30921	ENSG00000189144	Zinc finger protein 573	19	37735833-37817300	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA042776	Uncertain		Approved	Intermediate filaments<br>Cytosol		Mixed	Mixed			thyroid gland: 4.2	Mixed		
ZNF574	FLJ22059	ENSG00000105732	Zinc finger protein 574	19	42068477-42081549	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA023196, HPA057274	Approved		Supported	Nucleoplasm		Expressed in all	Expressed in all			testis: 36.5	Expressed in all		
ZNF575	FLJ32567	ENSG00000176472	Zinc finger protein 575	19	43525497-43536130	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA051865	Approved		Approved	Nucleus<br>Nucleoli fibrillar center<br>Cytosol		Expressed in all	Mixed			colon: 4.3	Cell line enhanced		MOLT-4: 6.2
ZNF576	MGC2508	ENSG00000124444	Zinc finger protein 576	19	43596392-43601157	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA050064	Uncertain		Approved	Nucleoplasm<br>Golgi apparatus	Liver cancer:1.29e-4 (unfavourable)	Expressed in all	Expressed in all			prostate: 15.4	Expressed in all		
ZNF577	MGC4400	ENSG00000161551	Zinc finger protein 577	19	51804816-51890950	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA041499, HPA046761	Uncertain		Supported	Nucleus<br>Nucleoli	Urothelial cancer:2.03e-4 (favourable)	Mixed	Mixed			ovary: 28.9	Mixed		
ZNF578	FLJ31384	ENSG00000258405	Zinc finger protein 578	19	52453576-52512154	Predicted intracellular proteins, Transcription factors	Evidence at protein level							Tissue enriched	Tissue enriched	5	testis: 14.0	thyroid gland: 2.6	Cell line enhanced		NTERA-2: 4.2;U-266/84: 6.8
ZNF579	FLJ35453	ENSG00000218891	Zinc finger protein 579	19	55576770-55580845	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA062812	Approved		Approved	Nucleus	Renal cancer:1.00e-5 (unfavourable)	Expressed in all	Expressed in all			gallbladder: 13.0	Expressed in all		
ZNF580		ENSG00000213015	Zinc finger protein 580	19	55635016-55643469	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA054058	Approved		Approved	Nucleus	Renal cancer:5.79e-6 (unfavourable), Pancreatic cancer:2.36e-5 (favourable), Liver cancer:5.63e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 38.1	Expressed in all		
ZNF581	FLJ22550, HSPC189	ENSG00000171425	Zinc finger protein 581	19	55635459-55645622	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA059657	Uncertain				Liver cancer:5.74e-5 (unfavourable)	Expressed in all	Expressed in all			ovary: 21.7	Expressed in all		
ZNF582	FLJ30927	ENSG00000018869	Zinc finger protein 582	19	56375846-56393545	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA028858	Uncertain		Approved	Nucleoplasm<br>Cytosol		Mixed	Mixed			thyroid gland: 12.4	Cell line enhanced		HEK 293: 26.0
ZNF583	FLJ31030	ENSG00000198440	Zinc finger protein 583	19	56397966-56436035	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA023805, HPA023957	Uncertain		Approved	Nucleoli<br>Cytosol		Mixed	Mixed			testis: 13.7	Mixed		
ZNF584	FLJ39899	ENSG00000171574	Zinc finger protein 584	19	58401504-58418327	Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	Evidence at transcript level	HPA043408, HPA048075	Uncertain		Approved	Nuclear speckles		Expressed in all	Mixed			fallopian tube: 10.1	Mixed		
ZNF585A	FLJ23765	ENSG00000196967	Zinc finger protein 585A	19	37106734-37172741	Predicted intracellular proteins, Transcription factors	Evidence at transcript level							Mixed	Expressed in all			thyroid gland: 17.9	Mixed		
ZNF585B	FLJ14928, SZFP41	ENSG00000245680	Zinc finger protein 585B	19	37181579-37218153	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA075556			Approved	Nucleoplasm<br>Cytoplasmic bodies		Expressed in all	Mixed			parathyroid gland: 19.7	Mixed		
ZNF586	FLJ20070	ENSG00000083828	Zinc finger protein 586	19	57769655-57819939	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA030306, HPA060782	Approved		Approved	Nucleoli fibrillar center<br>Vesicles	Breast cancer:9.83e-5 (favourable), Urothelial cancer:5.36e-4 (favourable)	Expressed in all	Expressed in all			bone marrow: 16.3	Mixed		
ZNF587	FLJ14710, FLJ20813, UBF-fl, ZF6	ENSG00000198466	Zinc finger protein 587	19	57849857-57865112	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA042125, HPA043288, HPA056213	Uncertain		Uncertain	Nucleoplasm	Renal cancer:7.98e-4 (unfavourable)	Expressed in all	Mixed			rectum: 17.0	Expressed in all		
ZNF589	SZF1	ENSG00000164048	Zinc finger protein 589	3	48241100-48299253	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003145	Uncertain		Approved	Nucleoplasm	Lung cancer:6.45e-5 (favourable), Pancreatic cancer:1.21e-4 (favourable), Head and neck cancer:1.71e-4 (favourable), Cervical cancer:2.50e-4 (favourable)	Expressed in all	Mixed			prostate: 28.0	Expressed in all		
ZNF592	CAMOS, KIAA0211, SCAR5	ENSG00000166716	Zinc finger protein 592	15	84748635-84806432	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA020332, HPA021600	Approved		Approved	Nucleoplasm		Expressed in all	Expressed in all			parathyroid gland: 16.7	Expressed in all		
ZNF594	KIAA1871	ENSG00000180626	Zinc finger protein 594	17	5179536-5191883	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA060283, HPA067178, HPA069360			Enhanced	Nucleus		Mixed	Mixed			ovary,parathyroid gland: 13.9	Mixed		
ZNF596		ENSG00000172748	Zinc finger protein 596	8	232137-264703	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA055463	Uncertain		Approved	Nucleoli<br>Mitochondria		Mixed	Tissue enhanced		testis: 27.8	parathyroid gland: 12.9	Mixed		
ZNF597	FLJ33071, HIT-4	ENSG00000167981	Zinc finger protein 597	16	3432422-3443542	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA001556	Approved		Approved	Nucleus<br>Nucleoli		Expressed in all	Mixed			testis: 7.2	Mixed		
ZNF599	FLJ30663	ENSG00000153896	Zinc finger protein 599	19	34758076-34773229	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA014701	Uncertain		Approved	Nucleoplasm<br>Plasma membrane<br>Cytosol		Mixed	Mixed			epididymis: 14.6	Mixed		
ZNF600	DKFZp686F06123, KR-ZNF1	ENSG00000189190	Zinc finger protein 600	19	52764195-52786791	Predicted intracellular proteins, Transcription factors	Evidence at protein level						Renal cancer:4.98e-7 (unfavourable), Urothelial cancer:1.11e-5 (favourable)	Expressed in all	Mixed			spleen: 7.8	Cell line enhanced		RT4: 17.0
